CVE_GEO,POBTOT,POBFEM,POBMAS,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,POB_AFRO,POB_AFRO_F,POB_AFRO_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,POCUPADA,PDESOCUP,PCATOLICA,VIVTOT,TVIVPARHAB,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_PC,VPH_INTER
0901300011101024,94,53,41,77,13,66,15,2,75,41,34,19,12,7,90,49,41,3,3,0,4,4,0,11,11,10,55,29,26,33,54,*,78,33,28,28,0,28,28,0,28,9,3,11,14,16
0901300011101023,112,62,50,81,25,71,16,2,90,47,43,21,14,7,103,56,47,3,3,0,*,*,*,11,11,11,65,30,35,31,65,0,99,33,29,29,0,29,29,0,29,8,8,11,11,20
0901300011101022,123,60,63,105,18,90,15,2,117,57,60,6,3,3,118,58,60,0,0,0,0,0,0,13,13,13,67,31,36,41,67,0,115,26,26,26,0,26,26,0,26,12,7,11,19,24
0901300011101021,13,10,3,30,4,4,5,2,11,8,3,,*,0,12,10,,0,0,0,0,0,0,13,14,12,3,3,0,8,3,0,13,3,3,3,0,3,3,0,3,3,0,*,3,3
0901300011101020,85,45,40,89,14,58,13,2,78,41,37,7,4,3,81,43,38,0,0,0,0,0,0,11,12,11,41,17,24,31,41,0,71,24,22,22,0,22,22,0,22,11,,12,15,15
0901300011101019,109,56,53,95,29,65,15,2,100,53,47,9,3,6,104,52,52,0,0,0,3,*,*,11,11,11,53,23,30,33,52,*,100,25,25,25,0,25,25,0,25,10,,13,16,16
0901300011101018,243,127,116,91,63,155,25,2,226,119,107,16,8,8,224,117,107,3,3,0,4,*,3,11,11,11,110,44,66,84,110,0,211,58,56,56,0,56,56,0,56,18,8,34,25,37
0901300011101017,91,48,43,90,23,61,7,2,88,46,42,3,*,*,86,44,42,0,0,0,0,0,0,11,10,12,54,22,32,18,54,0,69,22,20,20,0,20,20,0,20,8,3,5,9,14
0901300011116001,65,30,35,117,19,41,5,2,61,27,34,4,3,*,56,24,32,*,*,0,0,0,0,12,11,13,28,11,17,20,28,0,39,15,14,14,0,14,14,0,14,7,4,10,10,11
0901300011101014,97,54,43,80,21,68,8,2,87,48,39,10,6,4,89,51,38,*,0,*,7,3,4,12,12,11,54,29,25,27,53,*,80,25,22,22,0,22,22,0,22,4,4,11,11,16
0901300011101005,115,53,62,117,21,91,3,2,109,51,58,6,*,4,111,50,61,*,*,0,0,0,0,10,9,10,72,22,50,29,72,0,112,28,28,28,0,28,28,0,28,5,5,19,9,11
0901300011099032,5,,,,,,,,,,,,*,*,,,,*,*,*,*,*,*,,,,,,,,,*,,2,,,*,,,,,,,*,,
0901300011099031,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901300011084036,66,38,28,74,15,46,5,2,59,33,26,7,5,*,63,37,26,0,0,0,0,0,0,12,12,11,28,11,17,27,27,*,58,14,12,12,0,12,12,0,12,4,0,6,9,9
0901300011084033,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901300011084028,159,78,81,104,31,104,24,2,144,68,76,15,10,5,144,73,71,6,4,*,13,7,6,11,11,11,89,37,52,46,88,*,131,40,37,37,0,37,37,0,37,16,6,26,23,26
0901300011084027,23,11,12,109,4,18,,1,21,10,11,,*,*,21,11,10,*,0,*,0,0,0,14,15,13,11,6,5,9,10,*,12,8,6,6,0,6,6,0,6,3,0,*,4,4
0901300011084024,46,24,22,92,10,31,5,2,41,21,20,5,3,*,43,23,20,*,0,*,0,0,0,12,12,12,27,12,15,10,27,0,46,7,6,6,0,5,6,0,5,,0,3,4,4
0901300011084017,23,9,14,156,3,14,6,4,21,7,14,,*,0,20,7,13,*,*,0,0,0,0,14,12,15,14,4,10,6,14,0,23,7,6,6,0,6,6,0,6,,,3,3,4
0901300011084016,157,82,75,91,23,107,27,2,149,77,72,8,5,3,153,80,73,0,0,0,0,0,0,12,12,12,81,37,44,58,81,0,142,41,40,40,0,40,40,0,40,21,8,17,23,32
090130001114A082,45,25,20,80,11,27,7,2,44,25,19,,0,*,44,24,20,0,0,0,0,0,0,9,9,10,29,13,16,6,29,0,42,8,8,8,0,8,8,0,8,,,6,5,5
090130001114A081,7,,,,,,,,,,,,*,*,,,,*,*,*,*,*,*,,,,,,,,,*,,3,,,*,,,,,,,*,,
090130001114A080,39,19,20,105,7,30,,1,32,16,16,7,3,4,39,19,20,0,0,0,*,0,*,10,11,10,19,7,12,13,19,0,27,11,9,9,0,9,9,0,9,3,,7,6,6
090130001114A079,42,20,22,110,13,28,,2,30,14,16,11,5,6,37,18,19,0,0,0,0,0,0,7,8,7,22,9,13,9,22,0,31,11,11,11,0,11,11,0,11,,,6,,
090130001114A078,79,41,38,93,20,56,3,2,66,35,31,13,6,7,76,38,38,0,0,0,0,0,0,9,9,10,40,16,24,20,37,3,55,16,16,16,0,16,16,0,16,,3,9,6,7
090130001114A077,69,33,36,109,10,55,4,2,57,28,29,12,5,7,64,33,31,0,0,0,3,*,*,10,10,11,43,18,25,18,42,*,54,20,17,17,0,16,17,0,16,6,,13,7,6
090130001114A076,45,17,28,165,10,34,,2,43,16,27,,*,*,43,16,27,0,0,0,0,0,0,11,10,11,26,7,19,12,25,*,44,11,11,11,0,11,11,0,11,,3,7,6,8
090130001114A075,300,141,159,113,66,215,19,2,265,122,143,35,19,16,275,130,145,0,0,0,0,0,0,11,11,11,178,75,103,65,177,*,238,80,72,72,0,58,72,0,58,19,16,58,35,48
090130001114A074,15,7,8,114,6,8,,3,13,6,7,,*,*,15,7,8,0,0,0,0,0,0,9,9,9,5,,3,8,4,*,15,6,4,4,0,4,4,0,4,,,3,,
090130001114A073,22,10,12,120,5,12,5,2,20,9,11,,*,*,22,10,12,0,0,0,0,0,0,9,9,9,9,4,5,9,9,0,15,6,6,6,0,6,6,0,6,0,0,*,0,0
0901300011084011,74,39,35,90,17,50,7,2,66,33,33,8,6,*,68,38,30,0,0,0,0,0,0,10,10,11,42,19,23,19,41,*,55,20,19,19,0,18,18,,18,4,,9,11,13
0901300011084003,229,112,117,104,37,158,34,2,192,91,101,36,21,15,215,106,109,6,*,4,9,3,6,10,10,11,115,42,73,90,114,*,212,55,51,51,0,51,51,0,51,18,5,24,26,31
0901300011084025,25,14,11,79,3,19,3,2,23,13,10,,*,*,25,14,11,0,0,0,0,0,0,11,11,11,11,7,4,13,11,0,22,4,4,4,0,4,4,0,4,,,*,,4
0901300010705006,4,,,,,,,,,,,,*,*,,,,*,*,*,*,*,*,,,,,,,,,*,,1,,,*,,,,,,,*,,
0901300010705005,1,,,,,,,,,,,,*,*,,,,*,*,*,*,*,*,,,,,,,,,*,,2,,,*,,,,,,,*,,
0901300010705004,47,22,25,114,15,32,0,2,35,15,20,12,7,5,40,18,22,*,*,*,0,0,0,9,9,9,23,9,14,9,23,0,33,12,12,12,0,0,12,0,0,,0,10,3,4
0901300010705002,147,80,67,84,36,107,4,2,125,66,59,22,14,8,140,76,64,0,0,0,0,0,0,9,9,9,76,30,46,43,76,0,127,40,36,36,0,4,36,0,4,10,,28,12,21
0901300011101056,17,9,8,89,,12,3,2,16,9,7,,0,*,16,8,8,0,0,0,0,0,0,11,11,10,11,5,6,4,11,0,12,5,4,4,0,4,4,0,4,0,0,0,3,3
0901300010688032,84,41,43,105,13,52,19,1,76,36,40,8,5,3,77,39,38,*,*,0,0,0,0,13,13,13,44,17,27,32,43,*,77,29,26,26,0,26,26,0,26,17,3,12,18,21
0901300010334042,49,19,30,158,6,39,4,2,43,17,26,6,*,4,47,19,28,0,0,0,*,0,*,12,12,12,30,9,21,15,29,*,47,14,12,12,0,12,12,0,12,7,0,3,7,11
0901300010334041,109,55,54,98,25,74,10,2,98,48,50,10,6,4,100,49,51,5,*,3,*,0,*,12,11,12,62,27,35,29,59,3,94,42,36,36,0,36,36,0,36,11,5,12,16,24
0901300010334040,85,54,31,57,19,55,11,1,75,46,29,10,8,*,78,49,29,3,3,0,*,*,*,11,10,11,44,24,20,28,44,0,84,21,21,21,0,21,21,0,21,4,,11,11,15
0901300010334038,76,34,42,124,13,53,10,2,66,30,36,10,4,6,73,32,41,*,*,0,3,*,*,12,12,12,44,17,27,24,43,*,50,27,22,22,0,22,22,0,22,7,,10,10,14
0901300010334037,101,55,46,84,13,78,10,2,95,50,45,6,5,*,94,52,42,0,0,0,3,*,*,10,10,11,58,27,31,34,56,*,95,27,26,26,0,25,26,0,25,5,3,14,10,20
0901300010334036,263,133,130,98,38,194,31,2,241,121,120,21,11,10,251,128,123,*,0,*,10,6,4,13,13,13,147,67,80,89,143,4,210,82,73,73,0,73,73,0,73,38,9,29,55,56
0901300010334018,257,140,117,84,50,172,35,2,222,117,105,35,23,12,243,129,114,5,4,*,*,0,*,12,11,12,145,65,80,69,142,3,204,66,63,61,0,61,61,0,61,35,4,19,31,46
0901300010334016,300,148,152,103,46,214,40,2,274,137,137,22,8,14,286,141,145,8,3,5,*,0,*,12,12,12,158,68,90,105,152,6,233,93,81,80,0,80,80,0,80,45,12,39,52,63
0901300010334015,520,276,244,88,88,376,56,2,490,259,231,27,17,10,485,252,233,9,7,*,*,0,*,13,13,13,282,137,145,161,275,7,440,157,138,138,0,138,138,0,138,72,18,60,91,108
0901300010334014,47,23,24,104,4,37,6,1,46,22,24,,*,0,47,23,24,0,0,0,*,0,*,12,12,12,18,9,9,29,17,*,45,16,14,14,0,14,14,0,14,3,0,5,10,11
0901300010334013,279,145,134,92,45,203,31,1,247,130,117,32,15,17,266,137,129,*,*,0,5,3,*,13,13,13,148,63,85,94,144,4,257,91,78,78,0,77,78,0,77,51,13,28,56,56
0901300010334012,229,126,103,82,43,160,26,2,194,108,86,35,18,17,205,115,90,9,5,4,3,*,*,12,12,12,134,72,62,60,131,3,186,90,73,73,0,73,73,0,73,32,5,24,42,49
0901300010334011,241,134,107,80,57,155,29,2,203,115,88,37,19,18,218,125,93,0,0,0,6,4,*,11,11,11,136,74,62,51,135,*,189,77,62,62,0,62,62,0,62,24,4,19,31,40
0901300010334010,192,109,83,76,37,133,22,1,173,100,73,19,9,10,183,106,77,0,0,0,8,6,*,13,13,13,94,46,48,70,92,*,151,70,62,62,0,62,62,0,62,40,5,18,41,48
0901300010334009,207,114,93,82,48,140,19,2,184,101,83,23,13,10,189,107,82,11,5,6,3,*,*,12,12,12,113,57,56,59,110,3,179,53,49,49,0,49,49,0,49,28,8,20,30,37
0901300010334008,93,55,38,69,17,68,8,2,90,54,36,3,*,*,84,49,35,*,*,0,0,0,0,11,11,11,52,25,27,27,52,0,80,21,20,20,0,20,20,0,20,9,4,10,11,17
0901300010334007,264,131,133,102,53,180,31,2,246,121,125,18,10,8,245,121,124,5,*,3,6,3,3,11,11,11,142,64,78,82,139,3,212,81,73,73,0,73,73,0,73,22,6,36,34,53
0901300010334006,223,115,108,94,49,140,34,2,199,101,98,24,14,10,207,108,99,4,*,3,0,0,0,10,11,10,126,55,71,59,124,*,175,56,46,46,0,46,46,0,46,17,3,20,23,31
0901300010334005,250,128,122,95,42,174,34,2,224,108,116,23,18,5,232,120,112,4,*,3,4,3,*,12,12,13,141,60,81,74,140,*,230,81,67,67,0,67,67,0,67,31,5,29,36,51
0901300010334004,328,179,149,83,67,232,29,2,276,149,127,48,26,22,292,157,135,11,5,6,4,*,*,12,12,12,169,76,93,109,164,5,270,105,86,86,0,86,86,0,86,38,5,39,50,63
0901300010334003,154,74,80,108,17,102,35,2,136,65,71,16,7,9,143,68,75,9,5,4,*,*,*,14,14,13,89,39,50,55,84,5,126,60,50,50,0,49,50,0,49,34,3,22,34,38
0901300010334002,263,146,117,80,53,182,28,2,237,136,101,26,10,16,241,131,110,6,3,3,14,6,8,11,11,11,135,62,73,87,131,4,185,92,75,75,0,73,74,,72,27,7,25,33,53
0901300010334001,407,202,205,101,77,286,44,2,355,178,177,50,24,26,373,186,187,16,4,12,3,0,3,12,12,12,244,103,141,104,241,3,307,159,134,133,*,134,134,0,133,56,15,38,66,89
090130001025A018,121,61,60,98,6,84,31,2,114,58,56,6,3,3,119,59,60,*,*,0,0,0,0,12,12,13,65,31,34,53,65,0,83,74,73,73,0,73,73,0,73,33,25,34,49,54
090130001025A017,163,88,75,85,25,111,27,2,151,81,70,12,7,5,153,82,71,*,0,*,0,0,0,13,13,13,78,36,42,66,78,0,145,49,47,47,0,47,47,0,47,23,3,14,26,34
090130001025A008,37,20,17,85,3,27,7,2,35,20,15,,0,*,36,19,17,0,0,0,0,0,0,13,14,13,20,9,11,16,19,*,32,11,11,11,0,11,11,0,11,8,,4,9,11
090130001025A007,70,41,29,71,18,47,5,1,66,39,27,,*,*,61,36,25,*,0,*,0,0,0,11,11,10,34,15,19,19,34,0,49,21,21,21,0,21,21,0,21,7,6,8,10,19
090130001025A006,48,27,21,78,,34,13,2,43,23,20,5,4,*,46,26,20,*,0,*,0,0,0,12,12,13,28,10,18,19,28,0,30,41,36,36,0,36,36,0,36,16,15,14,23,24
090130001025A005,351,186,165,89,48,247,56,2,324,173,151,27,13,14,330,177,153,6,3,3,*,*,0,11,11,12,182,72,110,134,181,*,300,101,95,95,0,95,95,0,95,42,9,31,56,73
090130001025A001,124,59,65,110,13,89,22,2,123,59,64,,0,*,115,53,62,0,0,0,0,0,0,12,11,12,74,32,42,39,74,0,118,41,39,39,0,39,39,0,39,21,3,22,26,32
0901300010245026,86,40,46,115,15,58,13,2,86,40,46,0,0,0,81,40,41,0,0,0,0,0,0,11,11,11,43,16,27,33,43,0,56,29,29,29,0,29,29,0,29,9,5,16,11,21
0901300010245024,71,35,36,103,9,57,5,2,71,35,36,0,0,0,68,34,34,0,0,0,0,0,0,10,10,10,43,17,26,20,43,0,68,20,20,20,0,20,20,0,20,5,4,12,16,17
0901300010245023,19,10,9,90,3,13,3,2,19,10,9,0,0,0,19,10,9,0,0,0,0,0,0,12,11,14,10,4,6,6,10,0,19,5,5,5,0,5,5,0,5,3,,4,5,5
0901300010245021,22,12,10,83,,12,9,2,21,11,10,,*,0,22,12,10,0,0,0,*,*,0,10,10,10,15,8,7,6,15,0,22,7,6,6,0,5,6,0,5,,0,3,3,4
0901300010245018,99,59,40,68,15,65,19,2,98,59,39,,0,*,93,56,37,*,0,*,*,*,0,11,11,11,50,28,22,37,50,0,92,25,25,25,0,25,25,0,25,7,5,6,12,15
0901300010245017,74,36,38,106,8,49,17,2,71,35,36,3,*,*,74,36,38,0,0,0,3,*,*,12,12,12,35,14,21,31,34,*,64,23,21,21,0,21,21,0,21,11,4,5,15,17
0901300010245016,114,71,43,61,21,76,17,2,110,68,42,4,3,*,109,68,41,0,0,0,15,10,5,11,11,11,58,33,25,38,53,5,93,26,23,23,0,22,23,0,22,12,5,11,12,16
0901300010245015,27,15,12,80,7,17,3,2,23,13,10,4,*,*,24,13,11,*,*,*,0,0,0,11,11,10,14,7,7,9,14,0,27,7,7,7,0,7,7,0,7,4,,*,4,5
0901300010245014,251,124,127,102,49,182,20,2,248,123,125,,*,*,236,118,118,*,*,0,6,3,3,11,11,10,121,47,74,92,119,*,224,96,92,91,0,91,91,0,91,18,5,22,26,42
0901300010245013,119,59,60,102,17,86,16,2,114,56,58,4,3,*,116,58,58,0,0,0,*,*,*,12,13,11,78,43,35,26,77,*,103,43,39,39,0,39,39,0,39,21,14,20,24,29
0901300010245011,75,44,31,70,4,57,14,1,74,43,31,,*,0,73,44,29,0,0,0,*,*,0,13,13,13,33,18,15,38,33,0,71,23,20,20,0,20,20,0,20,9,,6,9,18
0901300010245010,25,14,11,79,6,16,3,1,25,14,11,0,0,0,25,14,11,0,0,0,0,0,0,13,13,13,12,6,6,12,12,0,23,9,9,9,0,9,9,0,9,3,0,*,6,8
090130001025A003,37,11,26,236,,34,,1,36,11,25,0,0,0,37,11,26,0,0,0,*,0,*,5,2,6,7,,6,30,6,*,9,4,3,3,0,3,3,0,3,3,0,*,3,3
0901300010245008,14,6,8,133,,12,,2,14,6,8,0,0,0,13,6,7,0,0,0,0,0,0,15,15,15,9,3,6,4,8,*,13,7,5,5,0,5,5,0,5,4,,*,,3
0901300010245006,45,25,20,80,8,29,8,2,40,22,18,5,3,*,41,22,19,0,0,0,0,0,0,8,8,9,33,15,18,6,32,*,42,15,14,14,0,14,14,0,14,6,7,8,4,5
0901300010245005,153,76,77,101,30,103,20,2,136,69,67,16,6,10,137,67,70,3,0,3,5,*,3,10,11,10,86,36,50,43,83,3,130,57,55,55,0,55,55,0,55,22,18,27,27,26
0901300010245004,102,55,47,85,13,79,10,2,101,55,46,,0,*,100,54,46,0,0,0,*,*,0,11,11,11,54,25,29,39,54,0,96,30,29,29,0,29,29,0,29,6,,17,20,23
0901300010245003,7,4,3,75,0,4,3,2,7,4,3,0,0,0,7,4,3,0,0,0,0,0,0,14,14,15,,,,5,,0,7,3,3,3,0,3,3,0,3,,0,*,,
0901300010245001,252,129,123,95,37,173,42,2,250,128,122,,*,*,243,124,119,*,*,0,4,*,3,12,12,12,105,36,69,120,105,0,213,73,69,69,0,69,69,0,69,26,5,27,32,49
090130001114A040,8,4,4,100,,6,0,2,8,4,4,0,0,0,8,4,4,0,0,0,0,0,0,14,16,13,7,3,4,0,7,0,8,3,3,3,0,3,3,0,3,0,,*,,
0901300010230031,32,11,21,191,,25,5,2,23,11,12,8,0,8,23,10,13,7,0,7,0,0,0,12,12,12,18,7,11,13,18,0,32,4,4,4,0,4,4,0,4,,,4,,4
0901300010230025,61,32,29,91,11,41,9,2,55,30,25,6,*,4,58,30,28,0,0,0,*,*,*,11,10,11,30,9,21,21,29,*,50,15,12,12,0,12,12,0,12,4,3,8,6,8
0901300010230024,69,35,34,97,17,44,8,2,67,33,34,,*,0,67,35,32,0,0,0,*,0,*,11,9,12,25,6,19,32,24,*,69,13,13,13,0,13,13,0,13,8,7,8,10,12
0901300010245009,64,32,32,100,12,47,5,2,59,31,28,5,*,4,55,27,28,3,*,*,9,5,4,10,10,11,36,14,22,16,35,*,54,15,14,14,0,14,14,0,14,3,0,*,3,10
0901300010230021,175,84,91,108,35,113,27,2,171,83,88,4,*,3,169,82,87,0,0,0,0,0,0,12,11,12,93,42,51,51,89,4,139,44,39,39,0,39,39,0,39,10,3,20,23,26
0901300010230020,239,119,120,101,46,167,26,2,220,108,112,19,11,8,226,114,112,*,*,0,*,*,*,11,11,11,131,59,72,71,126,5,175,51,50,50,0,50,50,0,50,21,3,16,29,35
0901300010230019,118,70,48,69,30,75,13,2,94,54,40,24,16,8,105,62,43,4,*,3,0,0,0,11,11,12,45,23,22,49,44,*,106,39,35,35,0,35,35,0,35,12,0,11,18,21
0901300010230018,14,6,8,133,,11,,2,14,6,8,0,0,0,14,6,8,0,0,0,0,0,0,16,16,16,10,5,5,3,8,*,9,5,4,4,0,4,4,0,4,3,0,*,3,4
0901300010230017,190,88,102,116,21,135,34,2,177,82,95,13,6,7,184,84,100,*,*,0,23,9,14,11,12,11,99,39,60,76,93,6,168,52,49,49,0,49,49,0,49,24,9,23,28,38
0901300010230016,90,46,44,96,18,66,6,2,67,33,34,23,13,10,84,45,39,0,0,0,0,0,0,11,10,11,50,19,31,24,46,4,75,34,29,29,0,29,29,0,29,5,3,8,8,14
0901300010230014,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901300010230013,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901300010230012,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901300010230011,97,50,47,94,14,69,14,2,81,39,42,16,11,5,92,45,47,*,*,0,0,0,0,12,12,12,52,24,28,34,52,0,86,37,30,30,0,30,30,0,30,11,3,13,15,17
0901300010230010,30,15,15,100,4,26,0,1,26,12,14,4,3,*,29,14,15,0,0,0,0,0,0,12,11,12,18,9,9,10,18,0,23,14,10,10,0,10,10,0,10,6,0,5,5,4
0901300010230030,71,36,35,97,14,54,3,2,68,35,33,3,*,*,69,35,34,0,0,0,0,0,0,12,12,12,41,19,22,19,40,*,56,16,16,16,0,15,16,0,15,8,,8,10,11
